,rent,RegionName,RegionID
0,1837.4271936302343,"Los Angeles, CA",753899
1,2338.152519167787,"San Francisco, CA",395057
2,1367.6910570508653,"Riverside, CA",395025
3,1705.2635904805818,"San Diego, CA",395056
4,1264.6553920972167,"Sacramento, CA",395045
5,2530.7505449494993,"San Jose, CA",395059
6,1005.0158193208732,"Fresno, CA",394619
7,1017.1993021308464,"Bakersfield, CA",394357
8,1822.338195812574,"Oxnard, CA",394952
9,1250.1446121771223,"Stockton, CA",395134
10,979.0472187926983,"Modesto, CA",394871
11,1720.4097379635302,"Santa Rosa, CA",395068
12,1047.565573064287,"Visalia, CA",395195
13,1393.6494867930442,"Vallejo, CA",395183
14,1725.3753328018283,"Santa Maria, CA",753917
15,1443.0130237673682,"Salinas, CA",395050
16,1570.7200047130834,"San Luis Obispo, CA",395061
17,995.7032874238178,"Merced, CA",394851
18,1997.969168511942,"Santa Cruz, CA",395065
19,987.3456168352608,"Chico, CA",394464
20,984.0755814005513,"Redding, CA",395018
21,984.0755814005513,"El Centro, CA",394559
22,984.0755814005513,"Yuba City, CA",395246
23,984.0755814005513,"Madera, CA",394814
24,984.0755814005513,"Hanford, CA",394662
25,984.0755814005513,"Napa, CA",394900
26,984.0755814005513,"Eureka, CA",394577
27,984.0755814005513,"Truckee, CA",395166
28,984.0755814005513,"Ukiah, CA",395175
29,984.0755814005513,"Clearlake, CA",394472
30,984.0755814005513,"Red Bluff, CA",395016
31,984.0755814005513,"Sonora, CA",753920
32,984.0755814005513,"Crescent City, CA",394508
33,1849.5477081541364,"Los Angeles, CA",753899
34,2346.6936096948784,"San Francisco, CA",395057
35,1370.354442571786,"Riverside, CA",395025
36,1716.0999193446637,"San Diego, CA",395056
37,1273.349635608415,"Sacramento, CA",395045
38,2544.2809815120586,"San Jose, CA",395059
39,1006.6146168253616,"Fresno, CA",394619
40,1019.9432605207396,"Bakersfield, CA",394357
41,1829.9239074790385,"Oxnard, CA",394952
42,1258.19819934588,"Stockton, CA",395134
43,976.6440603608672,"Modesto, CA",394871
44,1729.9920090406963,"Santa Rosa, CA",395068
45,1049.7513291009325,"Visalia, CA",395195
46,1398.7246801441647,"Vallejo, CA",395183
47,1727.8434817039004,"Santa Maria, CA",753917
48,1435.46492706906,"Salinas, CA",395050
49,1581.268977579174,"San Luis Obispo, CA",395061
50,1009.4736467603136,"Merced, CA",394851
51,1999.466932979031,"Santa Cruz, CA",395065
52,998.59087384524,"Chico, CA",394464
53,987.7667704284776,"Redding, CA",395018
54,987.7667704284776,"El Centro, CA",394559
55,987.7667704284776,"Yuba City, CA",395246
56,987.7667704284776,"Madera, CA",394814
57,987.7667704284776,"Hanford, CA",394662
58,987.7667704284776,"Napa, CA",394900
59,987.7667704284776,"Eureka, CA",394577
60,987.7667704284776,"Truckee, CA",395166
61,987.7667704284776,"Ukiah, CA",395175
62,987.7667704284776,"Clearlake, CA",394472
63,987.7667704284776,"Red Bluff, CA",395016
64,987.7667704284776,"Sonora, CA",753920
65,987.7667704284776,"Crescent City, CA",394508
66,1865.9891251456208,"Los Angeles, CA",753899
67,2380.734253179932,"San Francisco, CA",395057
68,1374.6026731367194,"Riverside, CA",395025
69,1725.6239081160732,"San Diego, CA",395056
70,1282.695351770703,"Sacramento, CA",395045
71,2562.455167735478,"San Jose, CA",395059
72,1010.5445083650555,"Fresno, CA",394619
73,1029.244983154278,"Bakersfield, CA",394357
74,1835.7565645025609,"Oxnard, CA",394952
75,1271.8790270461304,"Stockton, CA",395134
76,982.7161497504997,"Modesto, CA",394871
77,1753.5442424429611,"Santa Rosa, CA",395068
78,1052.2001834685,"Visalia, CA",395195
79,1413.737157810401,"Vallejo, CA",395183
80,1751.555774168058,"Santa Maria, CA",753917
81,1436.211651597725,"Salinas, CA",395050
82,1622.1398623561538,"San Luis Obispo, CA",395061
83,1015.1501098508994,"Merced, CA",394851
84,2033.5932448369367,"Santa Cruz, CA",395065
85,1032.362642731658,"Chico, CA",394464
86,999.2503164146632,"Redding, CA",395018
87,999.2503164146632,"El Centro, CA",394559
88,999.2503164146632,"Yuba City, CA",395246
89,999.2503164146632,"Madera, CA",394814
90,999.2503164146632,"Hanford, CA",394662
91,999.2503164146632,"Napa, CA",394900
92,999.2503164146632,"Eureka, CA",394577
